Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26
2026-05-27 02:21:00,75864.0,75864.0,75830.01,75830.01,9.1872,76011.0725,76008.58679999999,75960.36863982672,75994.78434148092
2026-05-27 02:22:00,75830.01,75860.56,75829.75,75857.57,9.97385,76002.251,76005.6546,75944.55346446876,75984.62031618603
2026-05-27 02:23:00,75857.57,75857.57,75824.0,75849.99,8.14421,75991.4175,76002.2214,75930.00523916587,75974.64770017225
2026-05-27 02:24:00,75850.0,75864.01,75850.0,75864.0,2.63457,75982.021,75999.3412,75919.8505869865,75966.45157423358
2026-05-27 02:25:00,75864.0,75864.01,75838.46,75864.01,5.14084,75974.31,75996.6136,75911.25972745012,75958.86330947554
2026-05-27 02:26:00,75864.01,75868.0,75864.01,75867.99,1.3389,75966.798,75994.2712,75904.60284630394,75952.1319532181
2026-05-27 02:27:00,75868.0,75868.0,75864.0,75864.01,0.64531,75958.8155,75992.2312,75898.35779302641,75945.60440112787
2026-05-27 02:28:00,75864.01,75888.01,75864.0,75888.0,2.58825,75952.0325,75991.65400000001,75896.76428640696,75941.33740845173
2026-05-27 02:29:00,75888.0,75888.01,75880.49,75880.49,1.70955,75942.75649999999,75991.0712,75894.26055003666,75936.83019301086
2026-05-27 02:30:00,75880.5,75907.55,75840.01,75894.0,12.28079,75934.55649999999,75990.6312,75894.22046541564,75933.65758612117
2026-05-27 02:31:00,75894.0,75894.0,75859.02,75869.03,4.89362,75925.799,75988.72300000001,75890.34500919784,75928.8703575196
2026-05-27 02:32:00,75869.03,75880.75,75869.02,75880.51,2.09102,75916.193,75986.7316,75888.83193085971,75925.28810881445
2026-05-27 02:33:00,75880.51,75880.51,75855.85,75868.0,9.38593,75906.02249999999,75984.4516,75885.62701841976,75921.04454519857
2026-05-27 02:34:00,75868.0,75868.0,75863.99,75863.99,1.00342,75895.381,75982.31640000001,75882.29824635519,75916.81828259127
2026-05-27 02:35:00,75863.99,75864.0,75853.43,75853.44,0.85307,75886.276,75979.537,75877.85851614669,75912.1235949919
2026-05-27 02:36:00,75853.44,75864.0,75835.99,75836.0,2.57725,75876.80850000001,75976.33679999999,75871.41874443182,75906.48481017769
2026-05-27 02:37:00,75836.0,75860.02,75835.99,75860.02,5.94585,75869.37299999999,75973.617,75869.66509144231,75903.04297238674
2026-05-27 02:38:00,75860.02,75875.19,75860.01,75874.97,5.64197,75866.04500000001,75970.7166,75870.48123122042,75900.96349295069
2026-05-27 02:39:00,75874.98,75874.98,75870.58,75870.59,13.74429,75865.03099999999,75969.13,75870.49796487881,75898.71360458397
2026-05-27 02:40:00,75870.59,75870.59,75854.0,75868.0,4.20525,75865.231,75966.61379999999,75870.11366258976,75896.43852276294
2026-05-27 02:41:00,75868.0,75900.0,75868.0,75900.0,2.27411,75868.73049999999,75963.971,75874.71156065288,75896.7023358916
2026-05-27 02:42:00,75900.0,75900.17,75899.99,75900.17,6.93682,75870.86050000001,75961.6058,75878.62824362935,75896.95919989963
2026-05-27 02:43:00,75900.17,75932.41,75900.16,75912.29,6.84344,75873.9755,75959.4296,75883.80697537868,75898.09481472189
2026-05-27 02:44:00,75912.29,75915.94,75862.79,75863.0,112.56446,75873.9255,75955.842,75880.60590224351,75895.49519881656
2026-05-27 02:45:00,75863.0,75882.39,75853.59,75865.44,60.94851,75873.997,75951.7508,75878.27268651374,75893.2688877931
2026-05-27 02:46:00,75865.44,75918.52,75865.43,75902.53,73.84151,75875.724,75948.3612,75882.00458089623,75893.95489610474
2026-05-27 02:47:00,75902.53,75972.0,75894.17,75972.0,13.66864,75881.12350000002,75946.2408,75895.85002998912,75899.7360149118
2026-05-27 02:48:00,75972.0,75985.1,75970.02,75970.03,5.51968,75885.225,75943.8476,75907.26233306772,75904.9429767702
2026-05-27 02:49:00,75970.03,75984.01,75966.6,75970.08,2.67794,75889.7045,75941.549,75916.92658951884,75909.76794145389
2026-05-27 02:50:00,75970.08,75972.0,75950.61,75950.69,3.74916,75892.539,75939.0426,75922.1209603621,75912.7992050499
2026-05-27 02:51:00,75950.69,75956.15,75950.68,75956.15,2.10064,75896.895,75937.1688,75927.35619722947,75916.0103750462
2026-05-27 02:52:00,75956.15,75972.0,75956.14,75972.0,3.3583,75901.4695,75935.9288,75934.22447457878,75920.15775467241
2026-05-27 02:53:00,75972.0,75972.01,75952.49,75952.5,12.09466,75905.69450000001,75933.6456,75937.03609387434,75922.55347654854
2026-05-27 02:54:00,75952.5,75963.33,75952.49,75954.01,2.3438,75910.1955,75931.6872,75939.64746404752,75924.88358939679
2026-05-27 02:55:00,75954.01,75955.92,75954.0,75955.91,3.38402,75915.31899999999,75930.4408,75942.14939265558,75927.18184203406
2026-05-27 02:56:00,75955.92,75956.01,75941.99,75952.01,2.34927,75921.1195,75929.1164,75943.66640917011,75929.02096484635
2026-05-27 02:57:00,75952.01,75952.01,75920.85,75920.86,1.60931,75924.1615,75927.0604,75940.15773083625,75928.4164489318
2026-05-27 02:58:00,75920.85,75920.86,75891.34,75891.34,4.55341,75924.98,75924.414,75932.64731070759,75925.67004530723
2026-05-27 02:59:00,75890.6,75890.6,75854.08,75877.44,9.05266,75925.3225,75920.64259999999,75924.15387829104,75922.09744935854
